time,open,high,low,close,tick_volume,spread,real_volume
2026-04-22 03:15:00,1.17492,1.17513,1.17466,1.1746699999999999,495,1,0
2026-04-22 03:30:00,1.1746699999999999,1.17503,1.17466,1.17478,476,1,0
2026-04-22 03:45:00,1.17475,1.17483,1.1743000000000001,1.17437,693,1,0
2026-04-22 04:00:00,1.17436,1.17469,1.17385,1.17402,710,1,0
2026-04-22 04:15:00,1.17401,1.1743000000000001,1.17393,1.17416,444,1,0
2026-04-22 04:30:00,1.17415,1.1747,1.17413,1.17431,528,1,0
2026-04-22 04:45:00,1.17431,1.17458,1.17427,1.17445,419,1,0
2026-04-22 05:00:00,1.17446,1.17484,1.17446,1.17474,440,1,0
2026-04-22 05:15:00,1.17474,1.17477,1.17449,1.17461,385,1,0
2026-04-22 05:30:00,1.17464,1.1746699999999999,1.17439,1.17439,347,1,0
2026-04-22 05:45:00,1.1743999999999999,1.17448,1.17398,1.1740599999999999,328,1,0
2026-04-22 06:00:00,1.1740599999999999,1.17425,1.17387,1.17404,391,1,0
2026-04-22 06:15:00,1.17405,1.1741,1.1739600000000001,1.17407,344,1,0
2026-04-22 06:30:00,1.17407,1.17423,1.17389,1.17402,289,1,0
2026-04-22 06:45:00,1.17402,1.17404,1.17375,1.17383,311,1,0
2026-04-22 07:00:00,1.17383,1.17407,1.17382,1.17398,294,1,0
2026-04-22 07:15:00,1.17398,1.17408,1.17391,1.1740599999999999,193,1,0
2026-04-22 07:30:00,1.17405,1.17418,1.17383,1.17414,327,1,0
2026-04-22 07:45:00,1.17413,1.17424,1.17387,1.17394,380,1,0
2026-04-22 08:00:00,1.17395,1.17434,1.1739,1.17425,359,1,0
2026-04-22 08:15:00,1.17424,1.17625,1.17417,1.1757,1743,1,0
2026-04-22 08:30:00,1.17569,1.17573,1.17511,1.17527,758,1,0
2026-04-22 08:45:00,1.17526,1.1754,1.17494,1.17506,439,1,0
2026-04-22 09:00:00,1.17506,1.17523,1.17447,1.1749100000000001,744,1,0
2026-04-22 09:15:00,1.1749100000000001,1.17537,1.17471,1.17535,659,1,0
2026-04-22 09:30:00,1.17535,1.17551,1.17483,1.17489,767,1,0
2026-04-22 09:45:00,1.17489,1.17521,1.17483,1.17493,689,1,0
2026-04-22 10:00:00,1.1749,1.17521,1.17488,1.17508,848,1,0
2026-04-22 10:15:00,1.17508,1.17508,1.1746,1.17489,790,1,0
2026-04-22 10:30:00,1.17489,1.17534,1.17474,1.1752799999999999,767,1,0
2026-04-22 10:45:00,1.1752799999999999,1.17563,1.17496,1.17553,825,1,0
2026-04-22 11:00:00,1.17555,1.1758,1.17516,1.17569,840,1,0
2026-04-22 11:15:00,1.1757,1.17591,1.17503,1.17531,844,1,0
2026-04-22 11:30:00,1.17533,1.17543,1.17474,1.17504,948,1,0
2026-04-22 11:45:00,1.17504,1.17543,1.17504,1.17537,865,1,0
