time,open,high,low,close,tick_volume,spread,real_volume
2026-03-20 03:45:00,4655.54,4658.87,4654.37,4657.39,566,58,0
2026-03-20 03:50:00,4657.4,4660.28,4654.14,4656.88,623,61,0
2026-03-20 03:55:00,4656.74,4656.74,4646.82,4648.36,758,67,0
2026-03-20 04:00:00,4647.75,4669.13,4639.19,4669.02,1427,68,0
2026-03-20 04:05:00,4669.07,4679.75,4665.91,4666.3,1323,67,0
2026-03-20 04:10:00,4666.47,4669.17,4651.41,4651.51,1338,68,0
2026-03-20 04:15:00,4651.38,4659.25,4648.33,4652.26,1289,65,0
2026-03-20 04:20:00,4652.25,4655.79,4648.41,4653.26,1017,64,0
2026-03-20 04:25:00,4653.25,4661.9,4650.48,4661.9,1041,60,0
2026-03-20 04:30:00,4661.91,4676.44,4661.22,4676.44,1164,62,0
2026-03-20 04:35:00,4676.14,4677.82,4671.82,4675.38,1028,65,0
2026-03-20 04:40:00,4675.39,4688.76,4674.22,4686.39,1179,65,0
2026-03-20 04:45:00,4686.4,4699.07,4682.06,4684.94,1198,65,0
2026-03-20 04:50:00,4684.91,4685.89,4677.78,4679.64,1081,58,0
2026-03-20 04:55:00,4679.72,4679.82,4672.23,4677.09,1036,58,0
2026-03-20 05:00:00,4677.06,4682.74,4672.22,4672.22,1035,59,0
2026-03-20 05:05:00,4672.24,4684.57,4670.12,4684.56,1006,58,0
2026-03-20 05:10:00,4684.53,4689.08,4684.47,4685.5,801,58,0
2026-03-20 05:15:00,4685.45,4689.8,4684.23,4688.26,639,58,0
2026-03-20 05:20:00,4688.38,4689.68,4682.53,4684.58,705,61,0
2026-03-20 05:25:00,4684.6,4685.91,4680.53,4683.47,543,63,0
2026-03-20 05:30:00,4683.56,4689.78,4679.35,4689.65,930,66,0
2026-03-20 05:35:00,4689.71,4691.08,4679.11,4684.03,920,65,0
2026-03-20 05:40:00,4684.02,4686.52,4681.43,4684.92,888,58,0
2026-03-20 05:45:00,4684.91,4700.05,4682.69,4699.35,847,62,0
2026-03-20 05:50:00,4699.31,4703.33,4693.86,4697.91,1104,58,0
2026-03-20 05:55:00,4697.92,4701.2,4694.73,4697.46,872,58,0
2026-03-20 06:00:00,4698.2,4706.97,4693.01,4706.97,950,63,0
